"","Caso","Tipo","pvalor","pvalorL","pvalorG"
"1","2-3","MelhorResultado ~ Caso",1.34087946343624e-13,0.999999999999933,6.7043973171812e-14
"2","2-3","PiorResultado ~ Caso",0.882404539875438,0.558797730062281,0.441202269937719
"3","2-3","Media ~ Caso",1.04606610259173e-66,1,5.23033051295867e-67
"4","2-3","DesvioPadrao ~ Caso",1.37050236785273e-60,1,6.85251183926366e-61
"5","2-3","Tempo ~ Caso",7.50046339871408e-36,1,3.75023169935704e-36
"6","5-7","MelhorResultado ~ Caso",1.69293495240917e-16,1,8.46467476204585e-17
"7","5-7","PiorResultado ~ Caso",0.241892611090042,0.879053694454979,0.120946305545021
"8","5-7","Media ~ Caso",2.36574083510996e-25,1.18287041755498e-25,1
"9","5-7","DesvioPadrao ~ Caso",1.45482935855653e-88,7.27414679278266e-89,1
"10","5-7","Tempo ~ Caso",2.86287824558848e-83,1.43143912279424e-83,1
