"","Caso","Tipo","pvalor","pvalorL","pvalorG"
"1","1-2","MelhorResultado ~ Caso",1.09937267779972e-06,0.999999450313661,5.49686338899858e-07
"2","1-2","PiorResultado ~ Caso",0.387329996936737,0.806335001531631,0.193664998468369
"3","1-2","Media ~ Caso",2.17970166399912e-20,1,1.08985083199956e-20
"4","1-2","DesvioPadrao ~ Caso",8.80149873183317e-14,0.999999999999956,4.40074936591659e-14
"5","1-2","Tempo ~ Caso",0.434561418139903,0.217280709069951,0.782719290930049
"6","3-4","MelhorResultado ~ Caso",1.09937267779972e-06,0.999999450313661,5.49686338899858e-07
"7","3-4","PiorResultado ~ Caso",0.387329996936737,0.806335001531631,0.193664998468369
"8","3-4","Media ~ Caso",2.17970166399912e-20,1,1.08985083199956e-20
"9","3-4","DesvioPadrao ~ Caso",8.80149873183317e-14,0.999999999999956,4.40074936591659e-14
"10","3-4","Tempo ~ Caso",0.434561418139903,0.217280709069951,0.782719290930049
"11","5-6","MelhorResultado ~ Caso",0.322398993090035,0.161199496545017,0.838800503454983
"12","5-6","PiorResultado ~ Caso",0.735551620672012,0.632224189663994,0.367775810336006
"13","5-6","Media ~ Caso",0.566466327923766,0.716766836038117,0.283233163961883
"14","5-6","DesvioPadrao ~ Caso",5.67405069322809e-09,0.999999997162975,2.83702534661404e-09
"15","5-6","Tempo ~ Caso",1.33701278270486e-56,6.68506391352431e-57,1
"16","1-4","MelhorResultado ~ Caso",2.44316186602139e-13,1.2215809330107e-13,0.999999999999878
"17","1-4","PiorResultado ~ Caso",0.0831361867924938,0.958431906603753,0.0415680933962469
"18","1-4","Media ~ Caso",9.18366084830625e-60,4.59183042415313e-60,1
"19","1-4","DesvioPadrao ~ Caso",8.70311184092032e-69,4.35155592046016e-69,1
"20","1-4","Tempo ~ Caso",3.29585183996036e-50,1,1.64792591998018e-50
"21","1-5","MelhorResultado ~ Caso",7.11193573147011e-39,3.55596786573506e-39,1
"22","1-5","PiorResultado ~ Caso",0.390159143646715,0.195079571823357,0.804920428176643
"23","1-5","Media ~ Caso",1.56106661261732e-55,7.80533306308661e-56,1
"24","1-5","DesvioPadrao ~ Caso",4.9918700215624e-34,1,2.4959350107812e-34
"25","1-5","Tempo ~ Caso",1.07860351942651e-56,1,5.39301759713255e-57
"26","4-5","MelhorResultado ~ Caso",7.12235507066687e-39,3.56117753533344e-39,1
"27","4-5","PiorResultado ~ Caso",0.0262893280952025,0.0131446640476012,0.986855335952399
"28","4-5","Media ~ Caso",3.69012264754909e-56,1.84506132377454e-56,1
"29","4-5","DesvioPadrao ~ Caso",6.40269476624624e-39,1,3.20134738312312e-39
"30","4-5","Tempo ~ Caso",4.29429721562399e-51,1,2.147148607812e-51
