"","Replicacao","Caso","MelhorResultado","PiorResultado","Media","DesvioPadrao","Tempo"
"1",1,"Caso1",-13318.4819692232,2716.54980043453,-11515.5131697693,2367.40545889897,225
"2",1,"Caso2",-11305.4793475202,2442.89015850746,-9527.21931860192,2287.63513829138,2932
"3",2,"Caso2",-11170.7616119163,4060.43275748906,-9221.48370239184,2304.48284252587,2936
"4",2,"Caso1",-13517.5500070367,3039.37178465146,-11632.5446449781,2391.15550626165,144
"5",3,"Caso2",-11995.6118029158,3987.83627002477,-9361.80629901997,2369.04236298591,2903
"6",3,"Caso1",-13350.0155180285,4337.91987773291,-11572.925687524,2416.18612018999,142
"7",4,"Caso1",-13277.3060376903,2827.73839021942,-11510.6617991628,2392.41004489196,204
"8",4,"Caso2",-12259.3218605659,2571.43505743166,-9479.34045967468,2393.49992857781,2887
"9",5,"Caso2",-11312.6195890163,4301.65152834647,-9514.99439815676,2331.98846875781,2690
"10",5,"Caso1",-13345.3719007162,2900.66047129572,-11424.604869537,2445.3220519262,122
"11",6,"Caso1",-13609.2957328968,2478.58718328231,-11483.329698313,2471.50343982054,121
"12",6,"Caso2",-11117.3557377893,3334.70649218906,-9451.11887523513,2334.48714856229,2680
"13",7,"Caso1",-14241.9492991453,3197.49705379697,-11541.9925111011,2514.3195201527,119
"14",7,"Caso2",-10887.9929235099,2911.55505464851,-9377.27753768819,2318.0380948261,2697
"15",8,"Caso2",-11315.8047212931,3096.54835414861,-9379.28285941032,2321.89828845017,2648
"16",8,"Caso1",-14043.2603828181,3938.38612296052,-11596.5468256534,2544.89978557761,121
"17",9,"Caso1",-13223.6524056407,2372.53829802987,-11608.8770622353,2509.0394211563,127
"18",9,"Caso2",-10486.423190439,2899.59046352318,-9325.82313451411,2290.80288423411,2665
"19",10,"Caso2",-13299.6223015673,2553.9511700017,-9514.14734575075,2382.64697977098,2671
"20",10,"Caso1",-12798.7212292067,3123.7454602886,-11566.545744695,2495.08250763327,126
"21",11,"Caso1",-12822.6643126931,2671.04363148453,-11529.763128,2481.99995015581,126
"22",11,"Caso2",-10916.0608092524,2327.19059436163,-9470.11057117381,2358.72417524992,2844
"23",12,"Caso1",-14368.5098094552,3399.03175700137,-11587.5376983794,2499.48797311002,125
"24",12,"Caso2",-10279.5107657581,2669.21885175834,-9417.61708811679,2328.46493828913,2740
"25",13,"Caso2",-11723.3306550706,2263.69728221904,-9442.87922626699,2329.06493595912,2698
"26",13,"Caso1",-13155.9005895795,2617.42103462596,-11564.0594842125,2498.52827180815,120
"27",14,"Caso1",-13179.3610156893,3177.09574035173,-11555.6546017963,2490.23735165743,121
"28",14,"Caso2",-12138.4283514514,2107.71910848057,-9490.85439971341,2348.1519605801,2697
"29",15,"Caso1",-13339.0146622733,3315.13136376302,-11561.0366232481,2483.56266380517,127
"30",15,"Caso2",-11677.4541802219,2911.71919762804,-9508.85495720481,2339.83237949412,2747
"31",16,"Caso1",-13696.8346545191,2966.77331993323,-11566.1668521102,2488.58592941116,121
"32",16,"Caso2",-11448.4635167,2717.4840890308,-9514.50458312891,2334.75896785043,2902
"33",17,"Caso1",-13223.4614710456,3146.38282887742,-11552.5662703505,2478.37505084932,126
"34",17,"Caso2",-10609.5216601803,3197.07022354587,-9481.8184541384,2323.87288988086,2774
"35",18,"Caso2",-11378.7270117836,3576.75699940213,-9468.4820392077,2318.9991057284,2717
"36",18,"Caso1",-13700.500969178,2330.67869344054,-11558.4849791185,2481.86910730488,121
"37",19,"Caso1",-13690.166997897,2803.4127436848,-11569.3819167265,2479.81096058989,124
"38",19,"Caso2",-10965.9756936892,3000.02971888762,-9448.94997167129,2312.05004538076,2893
"39",20,"Caso1",-12641.0384065793,3012.67877464287,-11536.6567657351,2466.53136405869,122
"40",20,"Caso2",-10114.402762789,3371.64470175018,-9405.88568158625,2295.58801995555,2770
"41",21,"Caso2",-11359.804872481,3175.28454583712,-9400.84946904277,2295.91741987374,2711
"42",21,"Caso1",-13264.8821540054,3346.36865456489,-11526.8433044991,2469.41349832163,121
"43",22,"Caso1",-13177.2355231919,2628.07171684394,-11508.2845491015,2468.18357678925,123
"44",22,"Caso2",-12162.9052484795,3698.83432236541,-9434.48976837024,2308.16821305494,2778
"45",23,"Caso2",-11774.3705811308,2377.43847380271,-9446.876769905,2314.96591541342,2807
"46",23,"Caso1",-13027.3806527915,2945.28702580127,-11500.461736234,2469.73722694861,122
"47",24,"Caso2",-11331.0387800469,3118.24838848454,-9439.26525831891,2315.59919746092,2821
"48",24,"Caso1",-13317.5403462708,5141.07049720111,-11496.3340261087,2463.69553755721,125
"49",25,"Caso2",-11368.9922475311,3107.77677428795,-9441.73454878803,2312.83659880024,2820
"50",25,"Caso1",-13995.3097330938,2849.43096261859,-11518.6753946758,2472.82046135684,128
"51",26,"Caso1",-13037.3997791849,3061.15049847313,-11505.7406687856,2469.86703531384,152
"52",26,"Caso2",-11506.9519567114,2419.09976807442,-9452.63614172324,2300.40444320899,2868
"53",27,"Caso2",-11391.3595919902,3275.86192345432,-9453.19151744294,2297.50052255543,2844
"54",27,"Caso1",-13052.9646333693,3652.93810412713,-11492.240284133,2466.5980799907,130
"55",28,"Caso2",-12597.9181940707,3118.99784532196,-9481.34508354492,2309.16789863934,2863
"56",28,"Caso1",-13529.6973441362,2926.92592761451,-11485.2931630986,2464.4401051742,128
"57",29,"Caso1",-14290.0383732986,3191.73218444816,-11511.5193810661,2472.61149875687,126
"58",29,"Caso2",-11679.20942861,2338.16288990976,-9485.88271120572,2301.67943661004,2873
"59",30,"Caso2",-11144.8331532282,3511.60912592928,-9481.53599431475,2301.58769313249,2769
"60",30,"Caso1",-14333.2158862378,2681.4338100354,-11541.5678819029,2483.72104592462,122
