"","Replicacao","Caso","MelhorResultado","PiorResultado","Media","DesvioPadrao","Tempo"
"1",1,"Caso2",10922,59118,18682.0537713415,8151.27467295842,39797
"2",1,"Caso1",17774,58704,48768.901,3462.52061224034,1532
"3",2,"Caso2",11646,57774,18905.6015313554,7990.082989931,38031
"4",2,"Caso1",17686,58141,48752.28,3428.17956664621,1496
"5",3,"Caso2",12850,58386,19429.4384813136,7816.48752155663,33710
"6",3,"Caso1",17872,58205,48765.0833333333,3409.48574901646,1476
"7",4,"Caso2",11442,58349,19393.0640336043,7833.80566644868,35074
"8",4,"Caso1",18045,57843,48766.62525,3375.81498175036,1473
"9",5,"Caso1",17428,58428,48758.2176,3368.64618030268,1501
"10",5,"Caso2",11478,58050,19281.2350854655,7837.27747903758,35808
"11",6,"Caso1",17050,59266,48774.6856666667,3385.59930691339,1551
"12",6,"Caso2",12342,60246,19433.2622188192,7835.73244482951,34324
"13",7,"Caso2",11868,59005,19387.2352109059,7815.59780325049,37014
"14",7,"Caso1",17886,59199,48799.1391428571,3402.30261385163,1798
"15",8,"Caso2",12636,57994,19485.5892621206,7799.64392884018,38379
"16",8,"Caso1",17960,60085,48797.18475,3402.94991700358,1467
"17",9,"Caso1",17600,58601,48810.0477777778,3397.59061220715,1493
"18",9,"Caso2",11952,58090,19509.2223976773,7781.46210533403,40389
"19",10,"Caso1",17972,58255,48810.7461,3388.35928981896,1492
"20",10,"Caso2",12042,58434,19522.4219777033,7765.87636891463,36669
"21",11,"Caso2",11434,60907,19455.4505787215,7775.40662162725,37355
"22",11,"Caso1",17588,59190,48805.0574545455,3396.27078483194,1593
"23",12,"Caso2",14386,57993,19614.7091441573,7733.07651129397,35213
"24",12,"Caso1",18139,58681,48798.1378333333,3393.18553019709,1456
"25",13,"Caso1",17815,61302,48811.4212307692,3405.54138462892,1434
"26",13,"Caso2",12953,58863,19634.0951401216,7713.11762104244,45541
"27",14,"Caso1",17575,59286,48818.4345,3402.28556598366,1479
"28",14,"Caso2",12288,59004,19655.6745819515,7695.43227592585,36762
"29",15,"Caso1",17800,57860,48812.8096666667,3403.17173894671,1460
"30",15,"Caso2",14135,58960,19757.6178527005,7673.49439825401,35055
"31",16,"Caso1",18718,58244,48815.262,3397.89218690251,1521
"32",16,"Caso2",13792,59647,19803.8690171084,7653.11851634906,36116
"33",17,"Caso2",13866,57291,19870.4655470315,7635.30177945146,38045
"34",17,"Caso1",19173,60543,48826.557,3402.76646809279,1460
"35",18,"Caso2",13040,58435,19881.8707122357,7630.74444564217,43896
"36",18,"Caso1",18833,58714,48819.5239444444,3402.78278748422,1440
"37",19,"Caso2",12353,59258,19874.5098873783,7626.21454897147,36963
"38",19,"Caso1",18580,58247,48828.5882631579,3398.01324886688,1499
"39",20,"Caso1",17016,58863,48824.1287,3400.06134554864,1529
"40",20,"Caso2",11192,59615,19820.2578329867,7642.95357820112,39380
"41",21,"Caso2",12810,58548,19816.8269504658,7627.56335684207,36224
"42",21,"Caso1",18055,60973,48817.1344285714,3410.69125063497,1469
"43",22,"Caso1",16990,58485,48823.1192727273,3410.41800933037,1473
"44",22,"Caso2",12306,58022,19829.5335872227,7631.80085759161,34200
"45",23,"Caso2",11573,59914,19850.519293406,7649.88165477376,36950
"46",23,"Caso1",17594,58718,48819.2046521739,3407.88611978991,1484
"47",24,"Caso1",17128,59877,48820.9234583333,3408.43741000411,1467
"48",24,"Caso2",11403,59069,19816.5478709171,7665.77017321264,41555
"49",25,"Caso1",17542,58185,48828.40344,3406.75944555423,1438
"50",25,"Caso2",12741,58429,19831.6375896253,7651.71926847612,40813
"51",26,"Caso1",17573,58545,48832.1993846154,3402.62999010856,1494
"52",26,"Caso2",14865,59234,19894.1012328704,7641.72576801947,42191
"53",27,"Caso2",12518,58448,19892.107304226,7637.81987568161,35320
"54",27,"Caso1",17962,58696,48830.8917037037,3400.09908269088,1481
"55",28,"Caso2",11115,59272,19851.071145044,7654.80577130408,44233
"56",28,"Caso1",17333,59109,48836.802,3400.2094833408,1525
"57",29,"Caso1",16050,58485,48838.0045172414,3401.30315425677,1480
"58",29,"Caso2",13210,57795,19857.3819443323,7646.06000896303,36995
"59",30,"Caso2",11623,59875,19851.9128784664,7657.26228562799,38537
"60",30,"Caso1",17740,59697,48842.4694333333,3404.64011771338,1497
