"","Replicacao","Caso","MelhorResultado","PiorResultado","Media","DesvioPadrao","Tempo"
"1",1,"Caso2",8988.43570842859,34038.0889893539,13340.3915609612,4386.16700598514,40019
"2",1,"Caso1",12867.2270587022,33825.2553452296,29299.609444725,1611.5097208194,1795
"3",2,"Caso2",8371.88252927622,33522.4452627009,13197.7325396516,4407.59373315332,50699
"4",2,"Caso1",12106.9105509977,33442.4930992401,29348.9347735831,1604.94002183477,1706
"5",3,"Caso1",12879.1895231228,33860.6761633082,29356.6001837681,1599.05536692761,1677
"6",3,"Caso2",9633.79814137803,33865.8898997783,13427.4888780724,4311.88710301179,41161
"7",4,"Caso2",8618.26415542812,33864.9047471502,13330.3114589837,4345.83870789685,51335
"8",4,"Caso1",12796.6349493959,34091.0987539663,29352.1048720565,1584.13672558731,1732
"9",5,"Caso1",13163.6292835059,34242.5136057248,29369.2142890777,1587.14472227625,1683
"10",5,"Caso2",9827.13320094534,33961.2691261914,13423.3787119165,4293.03314530236,46972
"11",6,"Caso1",12708.3182155889,33628.9755356706,29359.7036248749,1583.87404332943,1749
"12",6,"Caso2",9257.45205909048,33900.7610478084,13479.5590619388,4276.5521879115,41831
"13",7,"Caso1",13313.6853313533,33755.0310219816,29365.2261018187,1577.66679723217,1700
"14",7,"Caso2",8100.74830192851,34728.6070980758,13345.5524225198,4330.55101307827,37969
"15",8,"Caso2",9296.40045508454,34285.0944840467,13368.109758208,4306.25560533664,41111
"16",8,"Caso1",13031.0205201055,33962.9374735922,29372.9531457408,1577.09299425906,1847
"17",9,"Caso1",12247.4159547527,33897.3070026915,29367.154963771,1579.57558958141,1737
"18",9,"Caso2",8642.90624909086,34042.8210940474,13352.2656249591,4317.79543380772,39864
"19",10,"Caso1",12611.6535384339,33804.442299982,29361.9167205663,1581.45917578519,1702
"20",10,"Caso2",9044.64945251386,33766.0855611526,13360.6815784219,4315.09841580176,39466
"21",11,"Caso1",12267.1687565426,33562.5530120724,29353.5987742195,1587.0913446226,1645
"22",11,"Caso2",7790.49461584654,33710.0974612746,13345.9168382751,4348.91222567543,50224
"23",12,"Caso2",9337.57460436859,34328.2319481536,13369.7702353931,4337.16932492345,44799
"24",12,"Caso1",12485.1686697215,35104.3495000333,29358.1586893818,1586.19268575067,1632
"25",13,"Caso2",9566.2264092074,34006.2173919311,13405.9477472961,4320.94829316295,39909
"26",13,"Caso1",12184.892703544,35443.6345696853,29356.2155212056,1589.7932145709,1715
"27",14,"Caso1",12645.3905318793,34137.7407069779,29355.5101463934,1587.10454542176,1753
"28",14,"Caso2",8904.11641642916,34476.9935496287,13388.1172523051,4319.84409249266,49799
"29",15,"Caso2",8333.70260335921,33542.7475049559,13353.3890383504,4334.37901873302,39425
"30",15,"Caso1",12416.4641762543,34127.2698089945,29355.0899730651,1587.50168511547,1641
"31",16,"Caso1",13193.2071803465,34759.0882769631,29354.088551899,1589.68130966742,1683
"32",16,"Caso2",7964.31256848533,33597.0820838924,13308.7524134703,4349.39026226322,38446
"33",17,"Caso1",12609.1826105975,33406.4606077787,29351.9816820177,1590.20546173258,1756
"34",17,"Caso2",9506.92252743813,33803.4825868538,13336.407489263,4346.70638349465,39320
"35",18,"Caso1",12504.9756625192,33686.6262699299,29352.1862356978,1587.61594757016,1688
"36",18,"Caso2",8424.0628848636,33719.4684656691,13345.1766507641,4344.73839040027,40652
"37",19,"Caso1",12535.4628402033,33407.7017731708,29351.7414321748,1586.79994810849,1673
"38",19,"Caso2",8402.51383318448,34142.2278643657,13324.9544666003,4351.6598936271,40589
"39",20,"Caso2",9532.82879848331,34146.4920576606,13373.8877494605,4343.59736899221,33771
"40",20,"Caso1",12257.0159899817,34288.557960183,29354.0663765933,1585.50101389886,1667
"41",21,"Caso2",8805.40700841004,33761.425472058,13353.2346421241,4346.96363415866,54837
"42",21,"Caso1",12345.9774581572,34072.0091339085,29350.4143113734,1583.7731402721,1745
"43",22,"Caso1",12247.535986024,33391.6281354926,29348.3393784397,1583.30442079371,1685
"44",22,"Caso2",9107.99014715009,33800.7086596695,13376.3322042472,4343.87263642959,44147
"45",23,"Caso1",12036.2264517108,34206.7652733536,29344.9994920158,1581.44107612416,1691
"46",23,"Caso2",8541.07057117043,34528.0501132008,13355.7715218517,4343.77208958686,46689
"47",24,"Caso1",12806.2048164335,33515.523084173,29340.337275078,1579.95750169338,1675
"48",24,"Caso2",9927.91422281935,34424.8972609809,13393.6943308465,4337.53953991101,38927
"49",25,"Caso1",12374.9676832376,33789.2536508421,29340.2272700579,1581.0098318411,1687
"50",25,"Caso2",8575.20009397261,33621.6395872641,13387.2291609015,4340.63523303494,42828
"51",26,"Caso2",8436.22347729868,34133.0259731735,13376.9311744124,4343.5660867839,49742
"52",26,"Caso1",12343.8655012532,34424.0607555809,29340.1974605511,1580.19173959331,1683
"53",27,"Caso1",12662.5073843705,34171.8961927273,29338.9153214001,1578.34608132745,1702
"54",27,"Caso2",9129.44206337304,33754.9541458407,13375.9645137108,4339.47773462974,45077
"55",28,"Caso2",8891.65524098351,33517.7800199114,13370.8653017657,4339.62991777789,46597
"56",28,"Caso1",12646.5049940158,33506.2306370841,29338.061904093,1579.72418296857,1716
"57",29,"Caso1",12877.1083471947,33841.5313524857,29338.2529672684,1578.2454769048,1701
"58",29,"Caso2",8898.39944558904,33544.079771755,13387.238103139,4335.95545446449,37353
"59",30,"Caso2",9799.76056416583,34239.4333906198,13404.1171916727,4329.25110543814,49166
"60",30,"Caso1",12489.5300599452,33888.4446032264,29335.7607428223,1577.6387818503,1752
