,Caso1,Caso2,
Melhor Resultado -> menor de todos ,"3,4E-08","8,95E-09",
Pior Resultado -> maior de todos ,"1274,269","1265,828",
Desvio padrão dos melhores resultados,"6,17E-08","1,69E-08",
Desvio padrão dos piores resultados,"32,43366","32,2607",
Média dos melhores resultados,"1,09E-07","3,22E-08",
Média dos piores resultados,"1182,505","1190,204",
Média geral,"42,3646","40,41692",
Desvio padrão dos desvios padrões (geral) -> Diferença entre as execuções,"0,7676331","0,7305747",
Média entre os desvios padrões,"134,9016","132,7499",
,,,
Teste t,t,df,P-value
Melhor Resultado ~ Caso,"6,5358","33,345","1,92E-07"
"Melhor Resultado ~ Caso, alternative=L","6,5358","33,345",1
"Melhor Resultado ~ Caso, alternative=G","6,5358","33,345","9,58E-08"
Pior Resultado ~ Caso,"-0,92182","57,998","0,3604"
"Pior Resultado ~ Caso, alternative=L","-0,92182","57,998","0,1802"
"Pior Resultado ~ Caso, alternative=G","-0,92182","57,998","0,8198"
Media ~ Caso,"15,765","52,911","< 2,2E-016"
"Media ~ Caso, alternative=L","15,765","52,911",1
"Media ~ Caso, alternative=G","15,765","52,911","< 2,2E-016"
Desvio Padrão ~ Caso,"11,121","57,859","5,41E-16"
"Desvio Padrão ~ Caso, alternative=L","11,121","57,859",1
"Desvio Padrão ~ Caso, alternative=G","11,121","57,859","2,70E-16"
Tempo ~ Caso,"-0,41262","57,881","0,6814"
"Tempo ~ Caso, alternative=L","-0,41262","57,881","0,3407"
"Tempo ~ Caso, alternative=G","-0,41262","57,881","0,6593"
